"filename", "language", "JavaScript", "Vue", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\.prettierrc", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\README.md", "Markdown", 0, 0, 0, 0, 0, 149, 0, 0, 49, 198
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\README_EN.md", "Markdown", 0, 0, 0, 0, 0, 146, 0, 0, 51, 197
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\package-lock.json", "JSON", 0, 0, 0, 0, 11292, 0, 0, 0, 1, 11293
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\package.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\App.vue", "Vue", 0, 9, 0, 0, 0, 0, 0, 1, 0, 10
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\api\global_data.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\api\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\icon.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\main.css", "CSS", 0, 0, 0, 138, 0, 0, 0, 4, 35, 177
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\theme-green\color-green.css", "CSS", 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\theme-green\index.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\Header.vue", "Vue", 0, 167, 0, 0, 0, 0, 0, 4, 2, 173
