"filename", "language", "JavaScript", "Vue", "Markdown", "HTML", "XML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\.prettierrc", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\README_EN.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\package-lock.json", "JSON", 0, 0, 0, 0, 0, 11328, 0, 0, 1, 11329
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\package.json", "JSON", 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\public\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 1, 1, 15
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\App.vue", "Vue", 0, 9, 0, 0, 0, 0, 0, 1, 0, 10
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\api\global_data.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\api\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 138, 4, 35, 177
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\theme-green\color-green.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 29
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\assets\css\theme-green\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\Header.vue", "Vue", 0, 175, 0, 0, 0, 0, 0, 4, 2, 181
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\Home.vue", "Vue", 0, 48, 0, 0, 0, 0, 0, 1, 3, 52
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\Sidebar.vue", "Vue", 0, 140, 0, 0, 0, 0, 0, 12, 3, 155
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\Tags.vue", "Vue", 0, 167, 0, 0, 0, 0, 0, 5, 11, 183
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\bus.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\directives.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 8, 17, 81
"c:\Users\86173\Desktop\double_vue\vue-manage-system-master\src\components\common\i18n.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
